file_a,file_b,problem_id,is_plagiarized,jaccard,winnow,structural,embedding,label_used,composite,flagged,verdict
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0,0.097,0.1111,0.5294,0.9543,0,0.1981,0,NOT PLAGIARIZED
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.1206,0.125,0.585,0.973,0,0.2802,0,NOT PLAGIARIZED
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.1176,0.122,0.4388,0.9475,0,0.1201,0,NOT PLAGIARIZED
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.1132,0.1136,0.5267,0.944,0,0.1787,0,NOT PLAGIARIZED
dataset\matrixMultiply\3_matrixMultiply.py,dataset\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.1036,0.1092,0.69,0.9853,0,0.3772,0,NOT PLAGIARIZED
dataset\matrixMultiply\3_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.1254,0.1261,0.5859,0.98,0,0.2938,0,NOT PLAGIARIZED
dataset\matrixMultiply\3_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.099,0.1024,0.6516,0.977,0,0.3299,0,NOT PLAGIARIZED
dataset\matrixMultiply\4_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.3781,0.3902,0.8105,0.9915,1,0.594,1,PLAGIARIZED
dataset\matrixMultiply\4_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.2723,0.2903,0.8844,0.9904,1,0.6094,1,PLAGIARIZED
dataset\matrixMultiply\5_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.3242,0.3261,0.9111,0.9988,1,0.6594,1,PLAGIARIZED
dataset\palindrome\1_palindrome.py,dataset\palindrome\2_palindrome.py,palindrome,0,0.1707,0.1212,0.5983,0.9881,0,0.3159,0,NOT PLAGIARIZED
dataset\palindrome\1_palindrome.py,dataset\palindrome\3_palindrome.py,palindrome,0,0.0526,0.0278,0.5968,0.9944,0,0.2887,0,NOT PLAGIARIZED
dataset\palindrome\1_palindrome.py,dataset\palindrome\4_palindrome.py,palindrome,1,0.5972,0.5862,0.9041,0.9992,1,0.7587,1,PLAGIARIZED
dataset\palindrome\1_palindrome.py,dataset\palindrome\5_palindrome.py,palindrome,1,0.049,0.0488,0.6423,0.9938,1,0.3312,0,NOT PLAGIARIZED
dataset\palindrome\1_palindrome.py,dataset\palindrome\6_palindrome.py,palindrome,1,0.4024,0.3939,0.8158,0.9983,1,0.6118,1,PLAGIARIZED
dataset\palindrome\2_palindrome.py,dataset\palindrome\3_palindrome.py,palindrome,0,0.0556,0.037,0.5934,0.9945,0,0.2899,0,NOT PLAGIARIZED
dataset\palindrome\2_palindrome.py,dataset\palindrome\4_palindrome.py,palindrome,1,0.046,0.0278,0.4248,0.9871,0,0.1423,0,NOT PLAGIARIZED
dataset\palindrome\2_palindrome.py,dataset\palindrome\5_palindrome.py,palindrome,1,0.0506,0.0303,0.3846,0.9925,0,0.1218,0,NOT PLAGIARIZED
dataset\palindrome\2_palindrome.py,dataset\palindrome\6_palindrome.py,palindrome,1,0.046,0.0278,0.4034,0.9861,0,0.124,0,NOT PLAGIARIZED
dataset\palindrome\3_palindrome.py,dataset\palindrome\4_palindrome.py,palindrome,1,0.1585,0.1562,0.7,0.9944,0,0.42,0,NOT PLAGIARIZED
dataset\palindrome\3_palindrome.py,dataset\palindrome\5_palindrome.py,palindrome,1,0.0482,0.0303,0.6847,0.9953,0,0.3594,0,NOT PLAGIARIZED
dataset\palindrome\3_palindrome.py,dataset\palindrome\6_palindrome.py,palindrome,1,0.044,0.0278,0.6032,0.9926,0,0.2904,0,NOT PLAGIARIZED
dataset\palindrome\4_palindrome.py,dataset\palindrome\5_palindrome.py,palindrome,1,0.0515,0.0488,0.7218,0.9943,1,0.3937,0,NOT PLAGIARIZED
dataset\palindrome\4_palindrome.py,dataset\palindrome\6_palindrome.py,palindrome,1,0.4286,0.3939,0.9054,0.9987,1,0.6819,1,PLAGIARIZED
dataset\palindrome\5_palindrome.py,dataset\palindrome\6_palindrome.py,palindrome,1,0.0515,0.0488,0.705,0.9927,1,0.3779,0,NOT PLAGIARIZED
dataset\primeNumber\1_primeNumber.py,dataset\primeNumber\2_primeNumber.py,primeNumber,0,0.0874,0.0667,0.7258,0.9973,0,0.4094,0,NOT PLAGIARIZED
dataset\primeNumber\1_primeNumber.py,dataset\primeNumber\3_primeNumber.py,primeNumber,0,0.0625,0.0541,0.8276,0.9984,0,0.4852,0,NOT PLAGIARIZED
dataset\primeNumber\1_primeNumber.py,dataset\primeNumber\4_primeNumber.py,primeNumber,1,0.5424,0.5652,0.8544,0.9984,1,0.7104,1,PLAGIARIZED
dataset\primeNumber\1_primeNumber.py,dataset\primeNumber\5_primeNumber.py,primeNumber,1,0.3377,0.3667,0.8889,0.9983,1,0.6575,1,PLAGIARIZED
dataset\primeNumber\1_primeNumber.py,dataset\primeNumber\6_primeNumber.py,primeNumber,1,0.1124,0.1143,0.6949,0.9973,1,0.4045,0,NOT PLAGIARIZED
dataset\primeNumber\2_primeNumber.py,dataset\primeNumber\3_primeNumber.py,primeNumber,0,0.028,0.0217,0.6308,0.9968,0,0.3169,0,NOT PLAGIARIZED
dataset\primeNumber\2_primeNumber.py,dataset\primeNumber\4_primeNumber.py,primeNumber,1,0.1,0.0732,0.8034,0.9957,0,0.4692,0,NOT PLAGIARIZED
dataset\primeNumber\2_primeNumber.py,dataset\primeNumber\5_primeNumber.py,primeNumber,1,0.0571,0.0426,0.6565,0.9962,0,0.3441,0,NOT PLAGIARIZED
dataset\primeNumber\2_primeNumber.py,dataset\primeNumber\6_primeNumber.py,primeNumber,1,0.0918,0.0444,0.6818,0.9962,0,0.3644,0,NOT PLAGIARIZED
dataset\primeNumber\3_primeNumber.py,dataset\primeNumber\4_primeNumber.py,primeNumber,1,0.0349,0.0294,0.6789,0.9975,0,0.3585,0,NOT PLAGIARIZED
dataset\primeNumber\3_primeNumber.py,dataset\primeNumber\5_primeNumber.py,primeNumber,1,0.1348,0.0811,0.7967,0.9973,0,0.4701,0,NOT PLAGIARIZED
dataset\primeNumber\3_primeNumber.py,dataset\primeNumber\6_primeNumber.py,primeNumber,1,0.0659,0.027,0.6452,0.9966,0,0.3298,0,NOT PLAGIARIZED
dataset\primeNumber\4_primeNumber.py,dataset\primeNumber\5_primeNumber.py,primeNumber,1,0.2162,0.2333,0.7455,0.9962,1,0.4893,0,NOT PLAGIARIZED
dataset\primeNumber\4_primeNumber.py,dataset\primeNumber\6_primeNumber.py,primeNumber,1,0.1622,0.1667,0.8108,0.996,1,0.5129,1,PLAGIARIZED
dataset\primeNumber\5_primeNumber.py,dataset\primeNumber\6_primeNumber.py,primeNumber,1,0.1667,0.2121,0.816,0.9987,1,0.5399,1,PLAGIARIZED
dataset\reverseLL\1_reverseLL.py,dataset\reverseLL\2_reverseLL.py,reverseLL,0,0.4072,0.3768,0.8763,0.9985,0,0.6522,1,PLAGIARIZED
dataset\reverseLL\1_reverseLL.py,dataset\reverseLL\3_reverseLL.py,reverseLL,0,0.2727,0.2317,0.6234,0.9947,0,0.3914,0,NOT PLAGIARIZED
dataset\reverseLL\1_reverseLL.py,dataset\reverseLL\4_reverseLL.py,reverseLL,1,0.7652,0.7736,0.9892,0.9999,1,0.9009,1,PLAGIARIZED
dataset\reverseLL\1_reverseLL.py,dataset\reverseLL\5_reverseLL.py,reverseLL,1,0.5101,0.4355,0.8364,0.9992,1,0.646,1,PLAGIARIZED
dataset\reverseLL\1_reverseLL.py,dataset\reverseLL\6_reverseLL.py,reverseLL,1,0.6483,0.6102,0.955,0.9983,1,0.8062,1,PLAGIARIZED
dataset\reverseLL\2_reverseLL.py,dataset\reverseLL\3_reverseLL.py,reverseLL,0,0.2066,0.1724,0.6286,0.9905,0,0.3642,0,NOT PLAGIARIZED
dataset\reverseLL\2_reverseLL.py,dataset\reverseLL\4_reverseLL.py,reverseLL,1,0.4,0.3768,0.8671,0.9985,0,0.6451,1,PLAGIARIZED
dataset\reverseLL\2_reverseLL.py,dataset\reverseLL\5_reverseLL.py,reverseLL,1,0.2921,0.2329,0.617,0.9979,0,0.3926,0,NOT PLAGIARIZED
dataset\reverseLL\2_reverseLL.py,dataset\reverseLL\6_reverseLL.py,reverseLL,1,0.3864,0.3714,0.8649,0.996,0,0.6367,1,PLAGIARIZED
dataset\reverseLL\3_reverseLL.py,dataset\reverseLL\4_reverseLL.py,reverseLL,1,0.2201,0.1744,0.6174,0.9948,0,0.364,0,NOT PLAGIARIZED
dataset\reverseLL\3_reverseLL.py,dataset\reverseLL\5_reverseLL.py,reverseLL,1,0.2289,0.1852,0.7752,0.9932,0,0.4877,0,NOT PLAGIARIZED
dataset\reverseLL\3_reverseLL.py,dataset\reverseLL\6_reverseLL.py,reverseLL,1,0.2488,0.2143,0.5732,0.9968,0,0.3493,0,NOT PLAGIARIZED
dataset\reverseLL\4_reverseLL.py,dataset\reverseLL\5_reverseLL.py,reverseLL,1,0.5099,0.459,0.8417,0.999,1,0.6591,1,PLAGIARIZED
dataset\reverseLL\4_reverseLL.py,dataset\reverseLL\6_reverseLL.py,reverseLL,1,0.5316,0.4844,0.9452,0.9982,1,0.7481,1,PLAGIARIZED
dataset\reverseLL\5_reverseLL.py,dataset\reverseLL\6_reverseLL.py,reverseLL,1,0.4096,0.3235,0.7986,0.9974,1,0.5687,1,PLAGIARIZED
