file_a,file_b,problem_id,is_plagiarized,jaccard,winnow,structural,embedding,label_used,composite,flagged
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\4_sort_selection.py,bubblesort,1,0.2013,0.15,0.795,0.9961,0,0.4728,0
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.184,0.1803,0.8941,0.997,0,0.5723,1
dataset\bubblesort\3_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.122,0.129,0.747,0.995,0,0.4138,0
dataset\bubblesort\4_sort_selection.py,dataset\bubblesort\5_bubble_sort.py,bubblesort,1,0.2715,0.2105,0.8487,0.9954,0,0.5481,1
dataset\bubblesort\4_sort_selection.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.1024,0.0984,0.7155,0.9949,0,0.3733,0
dataset\bubblesort\5_bubble_sort.py,dataset\bubblesort\6_bubble_sort.py,bubblesort,1,0.1437,0.1111,0.7984,0.9974,0,0.4585,0
dataset\factorial\1_factorial.py,dataset\factorial\2_factorial.py,factorial,0,0.0938,0.0333,0.6957,0.9945,0,0.3345,0
dataset\factorial\1_factorial.py,dataset\factorial\3_factorial.py,factorial,0,0.2778,0.1739,0.7097,0.9962,0,0.4085,0
dataset\factorial\1_factorial.py,dataset\factorial\4_factorial.py,factorial,1,1.0,1.0,1.0,0.9991,1,1.0,1
dataset\factorial\1_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.5111,0.4444,0.9318,0.9964,1,0.72,1
dataset\factorial\1_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.1935,0.1818,0.8125,0.9974,1,0.4979,1
dataset\factorial\2_factorial.py,dataset\factorial\3_factorial.py,factorial,0,0.0984,0.0345,0.6022,0.9932,0,0.2484,0
dataset\factorial\2_factorial.py,dataset\factorial\4_factorial.py,factorial,1,0.0938,0.0333,0.6957,0.9946,0,0.3345,0
dataset\factorial\2_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.0312,0.0,0.6364,0.9946,0,0.263,0
dataset\factorial\2_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.0286,0.0,0.5833,0.991,0,0.2133,0
dataset\factorial\3_factorial.py,dataset\factorial\4_factorial.py,factorial,1,0.2778,0.1739,0.7097,0.9957,0,0.4085,0
dataset\factorial\3_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.1607,0.087,0.8315,0.9937,0,0.4837,0
dataset\factorial\3_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.1094,0.0417,0.8454,0.9959,0,0.4778,0
dataset\factorial\4_factorial.py,dataset\factorial\5_factorial.py,factorial,1,0.5111,0.4444,0.9318,0.9967,1,0.72,1
dataset\factorial\4_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.1935,0.1818,0.8125,0.9968,1,0.4979,1
dataset\factorial\5_factorial.py,dataset\factorial\6_factorial.py,factorial,1,0.2727,0.2632,0.913,0.9954,1,0.6238,1
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\2_fibonacci.py,fibonacci,0,0.0208,0.0,0.4426,0.9942,0,0.0817,0
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\3_fibonacci.py,fibonacci,0,0.04,0.027,0.6029,0.987,0,0.2408,0
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.629,0.6087,0.9925,0.9972,1,0.8378,1
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.1685,0.1176,0.8392,0.9917,1,0.5009,1
dataset\fibonacci\1_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.4079,0.3226,0.9362,0.9976,1,0.677,1
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\3_fibonacci.py,fibonacci,0,0.0208,0.0,0.3548,0.9847,0,0.0001,0
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.0215,0.0,0.4463,0.9941,0,0.0852,0
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.0208,0.0,0.3969,0.9829,0,0.0392,0
dataset\fibonacci\2_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.0202,0.0,0.4186,0.9926,0,0.0593,0
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\4_fibonacci.py,fibonacci,1,0.0632,0.0571,0.5926,0.9878,0,0.2427,0
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.0612,0.027,0.5793,0.9835,0,0.2211,0
dataset\fibonacci\3_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.0594,0.0513,0.5594,0.984,0,0.2097,0
dataset\fibonacci\4_fibonacci.py,dataset\fibonacci\5_fibonacci.py,fibonacci,1,0.2024,0.1212,0.8451,0.9895,1,0.5109,1
dataset\fibonacci\4_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.4648,0.3793,0.9429,0.996,1,0.7061,1
dataset\fibonacci\5_fibonacci.py,dataset\fibonacci\6_fibonacci.py,fibonacci,1,0.2159,0.1389,0.8667,0.9936,1,0.5377,1
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\2_matrixMultiply.py,matrixMultiply,0,0.12,0.1205,0.5781,0.9917,0,0.254,0
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0,0.1524,0.1538,0.7166,0.9899,0,0.3961,0
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.5965,0.5541,0.972,0.9953,1,0.799,1
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.3831,0.3448,0.7861,0.9892,1,0.5416,1
dataset\matrixMultiply\1_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.2328,0.2178,0.8596,0.9868,1,0.5565,1
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0,0.097,0.1111,0.5294,0.9786,0,0.2035,0
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.1206,0.125,0.585,0.9894,0,0.2618,0
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.1176,0.122,0.4388,0.9805,0,0.1247,0
dataset\matrixMultiply\2_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.1132,0.1136,0.5267,0.9749,0,0.2034,0
dataset\matrixMultiply\3_matrixMultiply.py,dataset\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.1036,0.1092,0.69,0.9915,0,0.353,0
dataset\matrixMultiply\3_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.1254,0.1261,0.5859,0.9855,0,0.2635,0
dataset\matrixMultiply\3_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.099,0.1024,0.6516,0.9861,0,0.3148,0
dataset\matrixMultiply\4_matrixMultiply.py,dataset\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.3781,0.3902,0.8105,0.9885,1,0.5774,1
dataset\matrixMultiply\4_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.2723,0.2903,0.8844,0.9863,1,0.6053,1
dataset\matrixMultiply\5_matrixMultiply.py,dataset\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.3242,0.3261,0.9111,0.9978,1,0.6462,1
dataset\palindrome\1_palindrome.py,dataset\palindrome\2_palindrome.py,palindrome,0,0.1707,0.1212,0.5983,0.9865,0,0.2782,0
dataset\palindrome\1_palindrome.py,dataset\palindrome\3_palindrome.py,palindrome,0,0.0526,0.0278,0.5968,0.9929,0,0.2367,0
dataset\palindrome\1_palindrome.py,dataset\palindrome\4_palindrome.py,palindrome,1,0.5972,0.5862,0.9041,0.998,1,0.7456,1
dataset\palindrome\1_palindrome.py,dataset\palindrome\5_palindrome.py,palindrome,1,0.049,0.0488,0.6423,0.99,1,0.2849,0
dataset\palindrome\1_palindrome.py,dataset\palindrome\6_palindrome.py,palindrome,1,0.4024,0.3939,0.8158,0.9969,1,0.5859,1
dataset\palindrome\2_palindrome.py,dataset\palindrome\3_palindrome.py,palindrome,0,0.0556,0.037,0.5934,0.9925,0,0.2366,0
dataset\palindrome\2_palindrome.py,dataset\palindrome\4_palindrome.py,palindrome,1,0.046,0.0278,0.4248,0.9859,0,0.0761,0
dataset\palindrome\2_palindrome.py,dataset\palindrome\5_palindrome.py,palindrome,1,0.0506,0.0303,0.3846,0.9866,0,0.0399,0
dataset\palindrome\2_palindrome.py,dataset\palindrome\6_palindrome.py,palindrome,1,0.046,0.0278,0.4034,0.9862,0,0.0562,0
dataset\palindrome\3_palindrome.py,dataset\palindrome\4_palindrome.py,palindrome,1,0.1585,0.1562,0.7,0.9945,0,0.382,0
dataset\palindrome\3_palindrome.py,dataset\palindrome\5_palindrome.py,palindrome,1,0.0482,0.0303,0.6847,0.9932,0,0.3187,0
dataset\palindrome\3_palindrome.py,dataset\palindrome\6_palindrome.py,palindrome,1,0.044,0.0278,0.6032,0.9915,0,0.2418,0
dataset\palindrome\4_palindrome.py,dataset\palindrome\5_palindrome.py,palindrome,1,0.0515,0.0488,0.7218,0.9928,1,0.3591,0
dataset\palindrome\4_palindrome.py,dataset\palindrome\6_palindrome.py,palindrome,1,0.4286,0.3939,0.9054,0.9971,1,0.6719,1
dataset\palindrome\5_palindrome.py,dataset\palindrome\6_palindrome.py,palindrome,1,0.0515,0.0488,0.705,0.9919,1,0.3435,0
dataset\primeNumber\1_primeNumber.py,dataset\primeNumber\2_primeNumber.py,primeNumber,0,0.0874,0.0667,0.7258,0.9951,0,0.3719,0
dataset\primeNumber\1_primeNumber.py,dataset\primeNumber\3_primeNumber.py,primeNumber,0,0.0625,0.0541,0.8276,0.9962,0,0.4602,0
dataset\primeNumber\1_primeNumber.py,dataset\primeNumber\4_primeNumber.py,primeNumber,1,0.5424,0.5652,0.8544,0.9961,1,0.6875,1
dataset\primeNumber\1_primeNumber.py,dataset\primeNumber\5_primeNumber.py,primeNumber,1,0.3377,0.3667,0.8889,0.9965,1,0.6391,1
dataset\primeNumber\1_primeNumber.py,dataset\primeNumber\6_primeNumber.py,primeNumber,1,0.1124,0.1143,0.6949,0.9948,1,0.36,0
dataset\primeNumber\2_primeNumber.py,dataset\primeNumber\3_primeNumber.py,primeNumber,0,0.028,0.0217,0.6308,0.9949,0,0.264,0
dataset\primeNumber\2_primeNumber.py,dataset\primeNumber\4_primeNumber.py,primeNumber,1,0.1,0.0732,0.8034,0.996,0,0.4473,0
dataset\primeNumber\2_primeNumber.py,dataset\primeNumber\5_primeNumber.py,primeNumber,1,0.0571,0.0426,0.6565,0.9954,0,0.2971,0
dataset\primeNumber\2_primeNumber.py,dataset\primeNumber\6_primeNumber.py,primeNumber,1,0.0918,0.0444,0.6818,0.9931,0,0.3247,0
dataset\primeNumber\3_primeNumber.py,dataset\primeNumber\4_primeNumber.py,primeNumber,1,0.0349,0.0294,0.6789,0.9943,0,0.3117,0
dataset\primeNumber\3_primeNumber.py,dataset\primeNumber\5_primeNumber.py,primeNumber,1,0.1348,0.0811,0.7967,0.9951,0,0.447,0
dataset\primeNumber\3_primeNumber.py,dataset\primeNumber\6_primeNumber.py,primeNumber,1,0.0659,0.027,0.6452,0.992,0,0.2828,0
dataset\primeNumber\4_primeNumber.py,dataset\primeNumber\5_primeNumber.py,primeNumber,1,0.2162,0.2333,0.7455,0.9954,1,0.4533,0
dataset\primeNumber\4_primeNumber.py,dataset\primeNumber\6_primeNumber.py,primeNumber,1,0.1622,0.1667,0.8108,0.9941,1,0.4886,1
dataset\primeNumber\5_primeNumber.py,dataset\primeNumber\6_primeNumber.py,primeNumber,1,0.1667,0.2121,0.816,0.9975,1,0.5075,1
dataset\reverseLL\1_reverseLL.py,dataset\reverseLL\2_reverseLL.py,reverseLL,0,0.4072,0.3768,0.8763,0.9974,0,0.6375,1
dataset\reverseLL\1_reverseLL.py,dataset\reverseLL\3_reverseLL.py,reverseLL,0,0.2727,0.2317,0.6234,0.9913,0,0.3451,0
dataset\reverseLL\1_reverseLL.py,dataset\reverseLL\4_reverseLL.py,reverseLL,1,0.7652,0.7736,0.9892,0.9983,1,0.8981,1
dataset\reverseLL\1_reverseLL.py,dataset\reverseLL\5_reverseLL.py,reverseLL,1,0.5101,0.4355,0.8364,0.9969,1,0.6285,1
dataset\reverseLL\1_reverseLL.py,dataset\reverseLL\6_reverseLL.py,reverseLL,1,0.6483,0.6102,0.955,0.9975,1,0.8053,1
dataset\reverseLL\2_reverseLL.py,dataset\reverseLL\3_reverseLL.py,reverseLL,0,0.2066,0.1724,0.6286,0.9878,0,0.3254,0
dataset\reverseLL\2_reverseLL.py,dataset\reverseLL\4_reverseLL.py,reverseLL,1,0.4,0.3768,0.8671,0.9968,0,0.6282,1
dataset\reverseLL\2_reverseLL.py,dataset\reverseLL\5_reverseLL.py,reverseLL,1,0.2921,0.2329,0.617,0.9954,0,0.3415,0
dataset\reverseLL\2_reverseLL.py,dataset\reverseLL\6_reverseLL.py,reverseLL,1,0.3864,0.3714,0.8649,0.9947,0,0.6232,1
dataset\reverseLL\3_reverseLL.py,dataset\reverseLL\4_reverseLL.py,reverseLL,1,0.2201,0.1744,0.6174,0.9914,0,0.3169,0
dataset\reverseLL\3_reverseLL.py,dataset\reverseLL\5_reverseLL.py,reverseLL,1,0.2289,0.1852,0.7752,0.9868,0,0.4678,0
dataset\reverseLL\3_reverseLL.py,dataset\reverseLL\6_reverseLL.py,reverseLL,1,0.2488,0.2143,0.5732,0.9941,0,0.2907,0
dataset\reverseLL\4_reverseLL.py,dataset\reverseLL\5_reverseLL.py,reverseLL,1,0.5099,0.459,0.8417,0.9977,1,0.6405,1
dataset\reverseLL\4_reverseLL.py,dataset\reverseLL\6_reverseLL.py,reverseLL,1,0.5316,0.4844,0.9452,0.9987,1,0.7466,1
dataset\reverseLL\5_reverseLL.py,dataset\reverseLL\6_reverseLL.py,reverseLL,1,0.4096,0.3235,0.7986,0.9968,1,0.5495,1
