file_a,file_b,problem_id,is_plagiarized,jaccard,structural,combined
dataset_preprocessed\factorial\5_factorial.py,dataset_preprocessed\factorial\6_factorial.py,factorial,1,0.3846,0.913,0.913
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\2_fibonacci.py,fibonacci,0,0.0674,0.4426,0.4426
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\3_fibonacci.py,fibonacci,0,0.1196,0.6029,0.6029
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\4_fibonacci.py,fibonacci,1,0.7069,0.9925,0.9925
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1,0.253,0.8392,0.8392
dataset_preprocessed\fibonacci\1_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1,0.5,0.9362,0.9362
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\3_fibonacci.py,fibonacci,0,0.0889,0.3548,0.3548
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\4_fibonacci.py,fibonacci,1,0.093,0.4463,0.4463
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1,0.0761,0.3969,0.3969
dataset_preprocessed\fibonacci\2_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1,0.087,0.4186,0.4186
dataset_preprocessed\fibonacci\3_fibonacci.py,dataset_preprocessed\fibonacci\4_fibonacci.py,fibonacci,1,0.1461,0.5926,0.5926
dataset_preprocessed\fibonacci\3_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1,0.1383,0.5793,0.5793
dataset_preprocessed\fibonacci\3_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1,0.125,0.5594,0.5594
dataset_preprocessed\fibonacci\4_fibonacci.py,dataset_preprocessed\fibonacci\5_fibonacci.py,fibonacci,1,0.2875,0.8451,0.8451
dataset_preprocessed\fibonacci\4_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1,0.5522,0.9429,0.9429
dataset_preprocessed\fibonacci\5_fibonacci.py,dataset_preprocessed\fibonacci\6_fibonacci.py,fibonacci,1,0.2976,0.8667,0.8667
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,matrixMultiply,0,0.1882,0.5781,0.5781
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0,0.2745,0.7166,0.7166
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.6761,0.972,0.972
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.4578,0.7861,0.7861
dataset_preprocessed\matrixMultiply\1_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.3511,0.8596,0.8596
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,matrixMultiply,0,0.1753,0.5294,0.5294
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.1908,0.585,0.585
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.1667,0.4388,0.4388
dataset_preprocessed\matrixMultiply\2_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.1684,0.5267,0.5267
dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,matrixMultiply,1,0.2166,0.69,0.69
dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.2072,0.5859,0.5859
dataset_preprocessed\matrixMultiply\3_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.1966,0.6516,0.6516
dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,matrixMultiply,1,0.4302,0.8105,0.8105
dataset_preprocessed\matrixMultiply\4_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.3946,0.8844,0.8844
dataset_preprocessed\matrixMultiply\5_matrixMultiply.py,dataset_preprocessed\matrixMultiply\6_matrixMultiply.py,matrixMultiply,1,0.4886,0.9111,0.9111
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\2_palindrome.py,palindrome,0,0.2278,0.5983,0.5983
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\3_palindrome.py,palindrome,0,0.1348,0.5968,0.5968
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\4_palindrome.py,palindrome,1,0.7313,0.9041,0.9041
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1,0.2414,0.6423,0.6423
dataset_preprocessed\palindrome\1_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1,0.45,0.8158,0.8158
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\3_palindrome.py,palindrome,0,0.1642,0.5934,0.5934
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\4_palindrome.py,palindrome,1,0.1205,0.4248,0.4248
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1,0.0897,0.3846,0.3846
dataset_preprocessed\palindrome\2_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1,0.069,0.4034,0.4034
dataset_preprocessed\palindrome\3_palindrome.py,dataset_preprocessed\palindrome\4_palindrome.py,palindrome,1,0.2125,0.7,0.7
dataset_preprocessed\palindrome\3_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1,0.1125,0.6847,0.6847
dataset_preprocessed\palindrome\3_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1,0.0899,0.6032,0.6032
dataset_preprocessed\palindrome\4_palindrome.py,dataset_preprocessed\palindrome\5_palindrome.py,palindrome,1,0.253,0.7218,0.7218
dataset_preprocessed\palindrome\4_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1,0.4737,0.9054,0.9054
dataset_preprocessed\palindrome\5_palindrome.py,dataset_preprocessed\palindrome\6_palindrome.py,palindrome,1,0.2235,0.705,0.705
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\2_primeNumber.py,primeNumber,0,0.1739,0.7258,0.7258
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\3_primeNumber.py,primeNumber,0,0.2073,0.8276,0.8276
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\4_primeNumber.py,primeNumber,1,0.6,0.8544,0.8544
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1,0.4559,0.8889,0.8889
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.1687,0.6949,0.6949
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\3_primeNumber.py,primeNumber,0,0.1263,0.6308,0.6308
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\4_primeNumber.py,primeNumber,1,0.2152,0.8034,0.8034
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1,0.163,0.6565,0.6565
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.2209,0.6818,0.6818
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\4_primeNumber.py,primeNumber,1,0.1154,0.6789,0.6789
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1,0.3067,0.7967,0.7967
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.1294,0.6452,0.6452
dataset_preprocessed\primeNumber\4_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1,0.3385,0.7455,0.7455
dataset_preprocessed\primeNumber\4_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.2687,0.8108,0.8108
dataset_preprocessed\primeNumber\5_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.2468,0.816,0.816
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\2_reverseLL.py,reverseLL,0,0.4692,0.8763,0.8763
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\3_reverseLL.py,reverseLL,0,0.3822,0.6234,0.6234
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\4_reverseLL.py,reverseLL,1,0.8241,0.9892,0.9892
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1,0.6083,0.8364,0.8364
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1,0.7059,0.955,0.955
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\3_reverseLL.py,reverseLL,0,0.2892,0.6286,0.6286
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\4_reverseLL.py,reverseLL,1,0.4586,0.8671,0.8671
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1,0.3475,0.617,0.617
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1,0.4388,0.8649,0.8649
dataset_preprocessed\reverseLL\3_reverseLL.py,dataset_preprocessed\reverseLL\4_reverseLL.py,reverseLL,1,0.3333,0.6174,0.6174
dataset_preprocessed\reverseLL\3_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1,0.35,0.7752,0.7752
dataset_preprocessed\reverseLL\3_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1,0.3373,0.5732,0.5732
dataset_preprocessed\reverseLL\4_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1,0.6066,0.8417,0.8417
dataset_preprocessed\reverseLL\4_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1,0.5969,0.9452,0.9452
dataset_preprocessed\reverseLL\5_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1,0.4745,0.7986,0.7986
