file_a,file_b,problem_id,is_plagiarized
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\4_primeNumber.py,primeNumber,1
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\3_primeNumber.py,primeNumber,0
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\4_primeNumber.py,primeNumber,1
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\4_primeNumber.py,primeNumber,1
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1
dataset_preprocessed\primeNumber\4_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1
dataset_preprocessed\primeNumber\4_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1
dataset_preprocessed\primeNumber\5_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\2_reverseLL.py,reverseLL,0
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\3_reverseLL.py,reverseLL,0
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\4_reverseLL.py,reverseLL,1
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\3_reverseLL.py,reverseLL,0
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\4_reverseLL.py,reverseLL,1
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1
dataset_preprocessed\reverseLL\3_reverseLL.py,dataset_preprocessed\reverseLL\4_reverseLL.py,reverseLL,1
dataset_preprocessed\reverseLL\3_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1
dataset_preprocessed\reverseLL\3_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1
dataset_preprocessed\reverseLL\4_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1
dataset_preprocessed\reverseLL\4_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1
dataset_preprocessed\reverseLL\5_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1
